model,curve,x,y
Logistic Regression (unweighted),PR,0.9886363636363636,0.08978328173374613
Logistic Regression (unweighted),PR,0.9886363636363636,0.08987603305785125
Logistic Regression (unweighted),PR,0.9886363636363636,0.08996897621509824
Logistic Regression (unweighted),PR,0.9886363636363636,0.09006211180124224
Logistic Regression (unweighted),PR,0.9886363636363636,0.09015544041450778
Logistic Regression (unweighted),PR,0.9886363636363636,0.09024896265560166
Logistic Regression (unweighted),PR,0.9886363636363636,0.09034267912772585
Logistic Regression (unweighted),PR,0.9886363636363636,0.09043659043659044
Logistic Regression (unweighted),PR,0.9886363636363636,0.09053069719042664
Logistic Regression (unweighted),PR,0.9886363636363636,0.090625
Logistic Regression (unweighted),PR,0.9886363636363636,0.09071949947862357
Logistic Regression (unweighted),PR,0.9886363636363636,0.09081419624217119
Logistic Regression (unweighted),PR,0.9886363636363636,0.09090909090909091
Logistic Regression (unweighted),PR,0.9886363636363636,0.09100418410041841
Logistic Regression (unweighted),PR,0.9886363636363636,0.09109947643979058
Logistic Regression (unweighted),PR,0.9886363636363636,0.09119496855345911
Logistic Regression (unweighted),PR,0.9886363636363636,0.0912906610703043
Logistic Regression (unweighted),PR,0.9886363636363636,0.09138655462184873
Logistic Regression (unweighted),PR,0.9886363636363636,0.0914826498422713
Logistic Regression (unweighted),PR,0.9886363636363636,0.09157894736842105
Logistic Regression (unweighted),PR,0.9772727272727273,0.09062170706006323
Logistic Regression (unweighted),PR,0.9772727272727273,0.09071729957805907
Logistic Regression (unweighted),PR,0.9772727272727273,0.0908130939809926
Logistic Regression (unweighted),PR,0.9772727272727273,0.09090909090909091
Logistic Regression (unweighted),PR,0.9772727272727273,0.091005291005291
Logistic Regression (unweighted),PR,0.9772727272727273,0.09110169491525423
Logistic Regression (unweighted),PR,0.9772727272727273,0.0911983032873807
Logistic Regression (unweighted),PR,0.9772727272727273,0.09129511677282377
Logistic Regression (unweighted),PR,0.9772727272727273,0.09139213602550478
Logistic Regression (unweighted),PR,0.9772727272727273,0.09148936170212765
Logistic Regression (unweighted),PR,0.9772727272727273,0.09158679446219382
Logistic Regression (unweighted),PR,0.9772727272727273,0.09168443496801706
Logistic Regression (unweighted),PR,0.9772727272727273,0.09178228388473852
Logistic Regression (unweighted),PR,0.9772727272727273,0.09188034188034189
Logistic Regression (unweighted),PR,0.9772727272727273,0.09197860962566845
Logistic Regression (unweighted),PR,0.9772727272727273,0.09207708779443255
Logistic Regression (unweighted),PR,0.9772727272727273,0.09217577706323687
Logistic Regression (unweighted),PR,0.9772727272727273,0.09227467811158799
Logistic Regression (unweighted),PR,0.9772727272727273,0.09237379162191192
Logistic Regression (unweighted),PR,0.9772727272727273,0.09247311827956989
Logistic Regression (unweighted),PR,0.9772727272727273,0.09257265877287406
Logistic Regression (unweighted),PR,0.9772727272727273,0.09267241379310345
Logistic Regression (unweighted),PR,0.9772727272727273,0.09277238403451996
Logistic Regression (unweighted),PR,0.9772727272727273,0.09287257019438445
Logistic Regression (unweighted),PR,0.9772727272727273,0.09297297297297297
